,238240,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,2721,907,1814,33%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,2171,693,1478,32%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,38,10,28,26%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,178,66,112,37%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,19,6,13,32%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,59,28,31,47%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,9,3,6,33%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,4,2,2,50%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,52,16,36,31%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,62,25,37,40%,,
,,latam,2,0,2,0%,,
,,polish,17,9,8,53%,,
,,french,42,16,26,38%,,
,,portuguese,4,2,2,50%,,
,,italian,9,5,4,56%,,
,,czech,4,2,2,50%,, 
,,finnish,7,1,6,14%,,
,,tchinese,7,3,4,43%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
