,201510,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,4079,745,3334,18%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,1606,324,1282,20%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,25,10,15,40%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,1340,236,1104,18%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,6,2,4,33%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,231,31,200,13%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,21,11,10,52%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,6,0,6,0%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,134,12,122,9%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,131,22,109,17%,,
,,latam,22,5,17,23%,,
,,polish,123,22,101,18%,,
,,french,82,13,69,16%,,
,,portuguese,10,0,10,0%,,
,,italian,15,5,10,33%,,
,,czech,98,18,80,18%,, 
,,finnish,26,2,24,8%,,
,,tchinese,6,0,6,0%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
205342877,english,2025.08.27 23:23,❌,❌,0.5,0,Psychological Horror tag is right,Psychological Horror tag is right
