,19000,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,3589,1691,1898,47%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,1716,720,996,42%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,46,34,12,74%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,41,27,14,66%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,4,3,1,75%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,17,9,8,53%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,4,3,1,75%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,0,0,0,100%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,495,262,233,53%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,591,313,278,53%,,
,,latam,109,53,56,49%,,
,,polish,94,58,36,62%,,
,,french,125,41,84,33%,,
,,portuguese,17,9,8,53%,,
,,italian,88,36,52,41%,,
,,czech,35,23,12,66%,, 
,,finnish,9,6,3,67%,,
,,tchinese,4,2,2,50%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
205436838,english,2025.08.29 02:58,❌,✅,0.5,0,"This game has a good story, but the gameplay and the port itself are just so bad that its not worth the money, even when on sale.","This game has a good story, but the gameplay and the port itself are just so bad that its not worth the money, even when on sale."
