,352550,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,2457,836,1621,34%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,892,259,633,29%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,927,347,580,37%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,123,51,72,41%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,57,17,40,30%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,216,56,160,26%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,3,1,2,33%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,1,0,1,0%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,39,16,23,41%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,24,15,9,63%,,
,,latam,0,0,0,100%,,
,,polish,16,9,7,56%,,
,,french,71,21,50,30%,,
,,portuguese,1,1,0,100%,,
,,italian,8,5,3,63%,,
,,czech,6,4,2,67%,, 
,,finnish,5,1,4,20%,,
,,tchinese,27,8,19,30%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
204366369,spanish,2025.08.15 04:26,❌,✅,0.4924242496,0,"Viva españa, pvtos yonkis",
204229122,russian,2025.08.13 15:14,✅,✅,0.5,0,good,good
